memory_name,entity,value,user_text,elliq_text,group_id
activity,type,activity,i'm going to the store i'll be back in maybe an hour or so,How can I help you?,1368f4f2-6f45-463e-89b4-aefa1ba02d5d
activity,name,going to the store,i'm going to the store i'll be back in maybe an hour or so,How can I help you?,1368f4f2-6f45-463e-89b4-aefa1ba02d5d
activity,type,entertainment,i want to see a movie,How can I help you?,136909d0-4328-4a87-801b-f411ef5a53d0
relationship,name,Terry,say hello to my friend terry,How can I help you?,13ad615d-6cdb-4363-90ba-7fd335f2b4d9
activity,type,meal,no i'm making breakfast i'm making breakfast mm,Are you in the mood to do some gentle breathing? It'll only take about 30 seconds.,13b0b0d9-1560-4e55-b1eb-a7809e45e75b
activity,name,making breakfast,no i'm making breakfast i'm making breakfast mm,Are you in the mood to do some gentle breathing? It'll only take about 30 seconds.,13b0b0d9-1560-4e55-b1eb-a7809e45e75b
activity,name,grocery shopping,i should go shopping for for groceries grocery shopping,"Lovely, what are you up to tomorrow?",13ecb679-0f90-4a91-9cee-6ae70831905a
place,name,doctors,i need to get ready to go to the doctors at 11,Wanna test your movie knowledge with the movie emoji game?,13f071c1-9304-449c-bd89-b62d2eafe071
interest,type,sports,some sports yes i like baseball,I just thought of something I really wanna know about you. Do you like watching sports?,140863fa-70c1-4ff2-b312-ae40e16855b8
place,name,Moonstone Beach,we're going to moonstone beach,What did you say?,146f9a51-3048-485f-819e-dd0637ef711f
activity,type,appointment,going to the doctor,Got anything important planned today?,1476f2b5-e3a2-48a3-82c9-5556a5a32b48
activity,type,activity,not now i'm on my way to the grocery store,Is now a good time to hang out?,147a1c3f-869f-4f9b-a134-0a85adbf5474
activity,type,shopping,i might go shopping food shopping,Do you have anything planned for today?,1498d977-fff1-4470-a4e9-a5fa93e6b64d
activity,name,food shopping,i might go shopping food shopping,Do you have anything planned for today?,1498d977-fff1-4470-a4e9-a5fa93e6b64d
activity,name,visit a friend,i'm going to you again and go visit a friend,Is there anything special planned for today?,14991256-9c06-4aa7-91a0-1e5a0b1a15cb
activity,preference,doesn't watch movies,no i don't watch movies,Have you had the chance to watch any new movies lately?,14b06015-73ea-4019-99d5-72a1534289ca
interest,name,hockey,hockey basketball baseball,So? what's your favorite sport?,14c2aaf2-c13f-4664-984e-0da7b8186d57
interest,name,baseball,hockey basketball baseball,So? what's your favorite sport?,14c2aaf2-c13f-4664-984e-0da7b8186d57
activity,name,elliptical,i light to walk and do the elliptical,What's your favorite type of workout?,14d2b448-47df-4165-850a-f50ac2badc36
activity,type,errands,run errands,What do you plan on doing?,14edd9b8-d01e-41d6-bf83-ed1816d570b8
activity,type,work,yes i got to go to work i got to go to the doctor,Do you have anything planned for today?,15150342-42c2-40bb-b7b1-702a9c9f0c71
place,name,doctor,yes i got to go to work i got to go to the doctor,Do you have anything planned for today?,15150342-42c2-40bb-b7b1-702a9c9f0c71
activity,type,physical activity,walking the dog,"So I'm curious, what were you up to <say-as interpret-as=""name"">Gary</say-as>?",152e0d10-bb70-48b1-9230-afc42c037c8e
activity,name,walking the dog,walking the dog,"So I'm curious, what were you up to <say-as interpret-as=""name"">Gary</say-as>?",152e0d10-bb70-48b1-9230-afc42c037c8e
person,name,Damion,this is my nephew damion,How can I help you?,1534ca95-2de3-4754-9a3a-73f05107e05f
activity,type,shopping,i was i was out shopping,"Oh I'm curious, where did you go?",154cd455-88e6-4bf4-a025-fc17c54287e6
activity,type,game,so i went to play a game called bingo,How can I help you?,155b9eb7-df1a-4f9a-a4cf-7849fb1b3727
activity,name,bingo,so i went to play a game called bingo,How can I help you?,155b9eb7-df1a-4f9a-a4cf-7849fb1b3727
activity,type,socializing,i was just leaving to go see paul,How about some time together?,157dac66-cf15-4207-b968-007a32c24e4a
activity,name,visiting Paul,i was just leaving to go see paul,How about some time together?,157dac66-cf15-4207-b968-007a32c24e4a
activity,type,pet care,no i'm going to take my dog outside to go potty when i get done in and i got to take my blood sugar and i'm going to be busy for a while but when i get done i'll call you okay,"I've got some free time, wanna do something together?",15b9c998-1d0e-42ad-bb51-2b55f0ba66e3
activity,name,taking dog outside,no i'm going to take my dog outside to go potty when i get done in and i got to take my blood sugar and i'm going to be busy for a while but when i get done i'll call you okay,"I've got some free time, wanna do something together?",15b9c998-1d0e-42ad-bb51-2b55f0ba66e3
activity,type,health monitoring,no i'm going to take my dog outside to go potty when i get done in and i got to take my blood sugar and i'm going to be busy for a while but when i get done i'll call you okay,"I've got some free time, wanna do something together?",15b9c998-1d0e-42ad-bb51-2b55f0ba66e3
activity,name,checking blood sugar,no i'm going to take my dog outside to go potty when i get done in and i got to take my blood sugar and i'm going to be busy for a while but when i get done i'll call you okay,"I've got some free time, wanna do something together?",15b9c998-1d0e-42ad-bb51-2b55f0ba66e3
activity,type,communication,no i'm going to take my dog outside to go potty when i get done in and i got to take my blood sugar and i'm going to be busy for a while but when i get done i'll call you okay,"I've got some free time, wanna do something together?",15b9c998-1d0e-42ad-bb51-2b55f0ba66e3
activity,type,religious activity,oh let's see going to church,Do you have any important plans for tomorrow?,15c89e5a-d4dc-43bc-b2e1-351f7eb872ac
activity,name,going to church,oh let's see going to church,Do you have any important plans for tomorrow?,15c89e5a-d4dc-43bc-b2e1-351f7eb872ac
activity,type,shopping,i just got home from the store,How can I help you?,15f8f468-8055-4bc8-81b3-51f086d6dc6b
place,name,store,i just got home from the store,How can I help you?,15f8f468-8055-4bc8-81b3-51f086d6dc6b
activity,type,religious activity,yes i'm going to church today i'll be at church all day today i'll be out all day today,Do you have anything special planned for today?,160b438e-e175-49f5-a082-78418e1a9cd0
activity,type,social event,i'm going to go to a birthday party meal,Do you have anything planned for today?,164c108b-8696-439f-af33-22026bfc7693
activity,name,birthday party,i'm going to go to a birthday party meal,Do you have anything planned for today?,164c108b-8696-439f-af33-22026bfc7693
activity,type,meal,i'm going to go to a birthday party meal,Do you have anything planned for today?,164c108b-8696-439f-af33-22026bfc7693
activity,type,religious activity,good going to church,"Just checking in, how are you feeling this morning?",1663dcba-3029-4e31-bebb-31a540141d80
activity,name,going to church,good going to church,"Just checking in, how are you feeling this morning?",1663dcba-3029-4e31-bebb-31a540141d80
relationship,name,Annie,i'd like you to meet my friend annie,How can I help you?,168fcac1-f71c-4096-8773-d82609a54db5
activity,type,shopping,i'm going to the market to buy some food i'll be back,Um... Yes?,16c0f1a6-8f44-4e42-9db2-fc004584a80e
activity,name,buying food,i'm going to the market to buy some food i'll be back,Um... Yes?,16c0f1a6-8f44-4e42-9db2-fc004584a80e
activity,name,talking on the phone,i'm going to go in the other room and talk to my sister on the phone,How can I help you?,16dc7b63-8491-4c78-989f-1fed9cc023c5
activity,name,going to church,i'm going to church with my daughter,"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",17261887-c480-4705-820f-05d5df21b9e9
activity,name,watching football,no i'm not elliq know i'm not i'm watching football listen to the football game i know it's until football game today,"I'm not sure I got that, are you going out?",17967db9-46c5-4234-b540-816230356306
activity,type,outdoor activity,just working in the yard,Is there anything special planned for today?,17cf1dc3-1527-4fab-a57b-e3bf73f0b471
activity,name,working in the yard,just working in the yard,Is there anything special planned for today?,17cf1dc3-1527-4fab-a57b-e3bf73f0b471
activity,type,appointment,just going to the doctor,"Ah. Ok, I’m back to being me, elli cue. What are you going to do differently today now that you know how the stars are aligned?",1831e24e-167f-46dc-8b6a-002fb2d2f3d7
activity,type,communication,call my daughter,"I'm not sure I understood, do you want to call someone?",183cb470-a701-413b-8f1e-66e5760779f6
relationship,type,daughter,to go to my daughters,Do you have any plans for today?,18889536-1140-4224-96fd-6dca759e4e63
activity,type,visit,to go to my daughters,Do you have any plans for today?,18889536-1140-4224-96fd-6dca759e4e63
activity,name,visiting daughter,to go to my daughters,Do you have any plans for today?,18889536-1140-4224-96fd-6dca759e4e63
activity,name,shopping with daughter,i did shopping with my daughter,"Just out of curiosity, What was the one thing that made you happy this week?",189fd9c3-a261-4399-b7f5-dfa08d8fbe47
activity,type,medical appointment,did you hear me when i'm getting ready to go to the doctors,How can I help you?,18a549b9-622c-4047-b184-4e4fe3e76567
place,name,doctors,did you hear me when i'm getting ready to go to the doctors,How can I help you?,18a549b9-622c-4047-b184-4e4fe3e76567
activity,name,leaving the house,nope i'm getting dressed to leave the house i'm going shopping,"excuse me <say-as interpret-as=""name"">Magdalena</say-as>, are you ready now by any chance?",18b06ed3-41ef-449e-8d06-3ee47d2a85ad
activity,type,visit,the hospital just to visit my sister,Where are you off to?,18d91f7f-9032-4c89-9560-9d37d6bf1881
activity,type,pet care,i'm going to take my dog out to the bathroom,let's give it another go. What did you say?,193794cf-8174-4027-a1d2-2d83a6fbae75
mood,type,positive,my day is going great and i'm going to take my dog for a walk,How can I help you?,193dbb45-340d-4d08-a6b8-209fbef29108
activity,type,physical activity,my day is going great and i'm going to take my dog for a walk,How can I help you?,193dbb45-340d-4d08-a6b8-209fbef29108
activity,name,walking dog,my day is going great and i'm going to take my dog for a walk,How can I help you?,193dbb45-340d-4d08-a6b8-209fbef29108
place,name,doctor's appointment,i'm going to a doctor's appointment,Wish I could join you. Are you meeting up with anyone?,196606ef-f5d1-4ca5-a1fc-f79d4cb23591
activity,type,intellectual activity,do some reading,"Great, what are your plans?",198bb4af-6419-458b-9908-aa00fe2748e8
activity,type,religious activity,not right now thanks not right now i'm going to go to church,"Oh, here's an idea! Wanna take a picture with me here in rome?",199a75eb-3728-497e-bd9e-a3a261310766
activity,name,going to church,not right now thanks not right now i'm going to go to church,"Oh, here's an idea! Wanna take a picture with me here in rome?",199a75eb-3728-497e-bd9e-a3a261310766
activity,type,conversation,can i talk to you this evening when i come home from the doctor or tonight,How can I help you?,19b54933-a861-40e4-a24e-1d68fc8ceeb1
time,time_of_day,evening,can i talk to you this evening when i come home from the doctor or tonight,How can I help you?,19b54933-a861-40e4-a24e-1d68fc8ceeb1
activity,name,walk,no i went for a walk in the park,What movie did you watch?,19b96301-7d19-48ee-8fde-61bc4bfd0135
place,name,park,no i went for a walk in the park,What movie did you watch?,19b96301-7d19-48ee-8fde-61bc4bfd0135
activity,type,news,i'm watching the tv for the news i'll talk to you later,let's try again. could you repeat what you said?,19bd73e7-5f89-4e8e-8b0a-70fdd4afd118
activity,name,watching the race,no i'm watching the race,How about we hang out for a bit?,19bf26a6-863e-4706-a304-d13e4dd85177
activity,type,pastime,it was fun i would bring my dog with me while i delivered papers and we had a beautiful neighborhood,What was it like?,19cd91d4-3dcc-410b-a0c8-2b9e7323dded
activity,name,delivering papers,it was fun i would bring my dog with me while i delivered papers and we had a beautiful neighborhood,What was it like?,19cd91d4-3dcc-410b-a0c8-2b9e7323dded
pet,type,dog,it was fun i would bring my dog with me while i delivered papers and we had a beautiful neighborhood,What was it like?,19cd91d4-3dcc-410b-a0c8-2b9e7323dded
place,type,neighborhood,it was fun i would bring my dog with me while i delivered papers and we had a beautiful neighborhood,What was it like?,19cd91d4-3dcc-410b-a0c8-2b9e7323dded
activity,type,appointment,doctors appointments,"Wonderful, what’s on the agenda tomorrow?",1a13c906-eae9-4ffa-a5fc-905db1b5d11d
activity,name,doctor's appointment,doctors appointments,"Wonderful, what’s on the agenda tomorrow?",1a13c906-eae9-4ffa-a5fc-905db1b5d11d
relationship,type,therapist,i have an appointment with dr school therapist it'll take about 45 minutes okay and then we'll talk,Um... Yes?,1a16220a-9eae-4256-97fa-aa0d98c4fb3e
activity,type,appointment,i have an appointment with dr school therapist it'll take about 45 minutes okay and then we'll talk,Um... Yes?,1a16220a-9eae-4256-97fa-aa0d98c4fb3e
activity,name,watching Wheel of Fortune,i'm watching the wheel of fortune,How can I help you?,1a2f4c46-d61e-45de-822b-600d6a9436a0
activity,type,appointment,no i'm going to the doctor,Is now a good time to hang out?,1a3be5a5-1d62-4b2c-8c4b-7de9fabae003
activity,type,spiritual activity,well i'm getting ready to go to my bible study,Wanna workout together?,1a458a20-0f9a-4694-ad45-42743449c0e6
activity,name,bible study,well i'm getting ready to go to my bible study,Wanna workout together?,1a458a20-0f9a-4694-ad45-42743449c0e6
activity,type,dental appointment,we went to marcellinus for the dentist,"So, tell me all about it. where did you go?",1a611038-a96e-4fda-8eee-32d0b3ba19ba
activity,type,exercise,i'm getting ready to go to the pool for exercise so i will be back probably in about 3 hours,We started getting to know each other earlier when we were interrupted. Do you have some time now?,1a6f5324-d5a0-4af8-a2a9-3e5b0b1bb942
activity,type,physical activity,oh no not right now i'm going to go for a walk later,Feel like working out together?,1aaafa7d-742c-4b04-a6b5-c4b90d4e5392
activity,name,walk,oh no not right now i'm going to go for a walk later,Feel like working out together?,1aaafa7d-742c-4b04-a6b5-c4b90d4e5392
activity,type,physical activity,to work out in the yard,Got any plans today?,1ac6575e-aae8-408c-9c23-161b4d816dad
activity,name,yard work,to work out in the yard,Got any plans today?,1ac6575e-aae8-408c-9c23-161b4d816dad
activity,type,physical activity,i'm going to take a walk,Did you say that you are leaving?,1acd7357-9b08-4dfa-b0fe-a1ef3899545a
activity,type,visit,visiting my mom,What were you up to out there?,1ae60d49-6ec3-49d1-9eb3-780fdbd50d8d
activity,name,visiting mom,visiting my mom,What were you up to out there?,1ae60d49-6ec3-49d1-9eb3-780fdbd50d8d
person,name,Anita,my neighbor anita is here can you say hello to anita please,How can I help you?,1b0327fc-12e2-4ac5-99e0-a61e34069f34
occupation,type,supermarket,i work in a supermarket,let's try again. maybe say it a bit differently this time.,1b67bf19-76e7-4ea1-a6fb-255e163cd659
activity,name,walk,i went for a walk,Hello! What's up buttercup?,1b6ee460-505a-4fcb-b472-274b9f90c44c
place,name,store,i went to the store,"So, where did you go?",1b810c2d-d35e-40d2-a57e-b08b4f25da40
travel,experience,never visited,i've never been to denmark no,Have you ever visited Denmark?,1b8396fa-f967-498f-868a-82dcba447a37
activity,type,appointment,i'm going to the doctor i should be back about 1,How can I help you?,1b9ab1bc-c1a3-499c-bb5b-597d6fdf2ced
activity,type,road trip,friend,Hmmm. so who would be our ideal road trip companion?,1bdadbdf-2fbf-4652-8343-f6d9a688d4be
activity,type,watching,where can i watch the game,How can I help you?,1c3367ee-0e12-48c6-9337-6a07f00b265b
activity,name,game,where can i watch the game,How can I help you?,1c3367ee-0e12-48c6-9337-6a07f00b265b
activity,type,conversation,i'm not free now because i want to talk to my brother,Are you free for a moment?,1c589cc2-6e57-4f85-a59b-68d2bbcbaddd
location,name,downstairs,i'm going downstairs and see what's going on with my family,Is it a secret rendezvous? Joking. Are you meeting anyone?,1c7f224e-6758-4243-819f-35dfdf3263d9
activity,type,socializing,i'm going downstairs and see what's going on with my family,Is it a secret rendezvous? Joking. Are you meeting anyone?,1c7f224e-6758-4243-819f-35dfdf3263d9
activity,name,making dinner,making dinner,Did you say that you are cooking?,1c854ac4-c5c0-410c-88b0-35123a56e2fd
activity,type,social activity,going to visit a dear friend,What do you plan on doing?,1c8ae9b0-7dde-4a20-8174-bcfc0d515d27
activity,name,visiting a friend,going to visit a dear friend,What do you plan on doing?,1c8ae9b0-7dde-4a20-8174-bcfc0d515d27
relationship,type,friend,going to visit a dear friend,What do you plan on doing?,1c8ae9b0-7dde-4a20-8174-bcfc0d515d27
place,name,bank,i must go out again i'm going to the bank,How can I help you?,1c9219aa-76e1-4e3a-bf3d-85c305ebd62f
activity,type,errand,i must go out again i'm going to the bank,How can I help you?,1c9219aa-76e1-4e3a-bf3d-85c305ebd62f
place,name,Tokeland Washington,i'm going to be gone for a little while to tokeland washington i'll be back later see you,How can I help you?,1cdb5081-2586-467c-afac-679d38e4da5d
activity,type,trip,i'm going to be gone for a little while to tokeland washington i'll be back later see you,How can I help you?,1cdb5081-2586-467c-afac-679d38e4da5d
activity,type,appointment,yes i have to go to the doctor the doctor's appointment,Do you have any plans for tomorrow?,1ceeda7b-ca74-4d97-b260-91f0e9fa0a2b
activity,name,doctor's appointment,yes i have to go to the doctor the doctor's appointment,Do you have any plans for tomorrow?,1ceeda7b-ca74-4d97-b260-91f0e9fa0a2b
location,type,bedroom,nowhere i'm in my bedroom i'm talking to my son,Where are you off to?,1cfcfb21-52ff-46f4-b5a8-772dd658bafd
activity,name,talking,nowhere i'm in my bedroom i'm talking to my son,Where are you off to?,1cfcfb21-52ff-46f4-b5a8-772dd658bafd
place,name,doctor's,i'm going to the doctor's i'll be back in a little while,How can I help you?,1d036a49-1f64-4171-bf42-d315533665d9
activity,type,appointment,i'm going to the doctor's i'll be back in a little while,How can I help you?,1d036a49-1f64-4171-bf42-d315533665d9
activity,type,social activity,yeah i'm going to my sister's house,are you meeting up with someone?,1d0d7814-9f90-4261-b54f-7b903399f6ec
place,name,sister's house,yeah i'm going to my sister's house,are you meeting up with someone?,1d0d7814-9f90-4261-b54f-7b903399f6ec
relationship,type,friend,yes my friend yeah yeah,Are you going to meet someone?,1d41b2b7-6554-4216-b0a4-28edaae7b3f9
activity,type,social interaction,yes my friend yeah yeah,Are you going to meet someone?,1d41b2b7-6554-4216-b0a4-28edaae7b3f9
activity,type,physical therapy,i have physical therapy at 1 and it dinner appointment at 5:30,"That's lovely, what are your plans?",1d834c0d-78ab-4e5d-89a3-2e1b6a96ced8
activity,type,dinner appointment,i have physical therapy at 1 and it dinner appointment at 5:30,"That's lovely, what are your plans?",1d834c0d-78ab-4e5d-89a3-2e1b6a96ced8
activity,type,going out,i have to go out for a minute i will have will have to do some fun when i get back at the bar for about a half an hour i'll be back in a half an hour and then we can face the game okay,How can I help you?,1d8ab4d4-a270-43bc-b29e-9a020ec22cf6
activity,type,fun,i have to go out for a minute i will have will have to do some fun when i get back at the bar for about a half an hour i'll be back in a half an hour and then we can face the game okay,How can I help you?,1d8ab4d4-a270-43bc-b29e-9a020ec22cf6
relationship,name,Chrissy,say hi to my friend chrissy,How can I help you?,1da2806a-ba8e-40b2-9c28-8288771b26c1
activity,type,physical activity,i'm taking the dog for a walk now,Yes?,1e02e1f8-3ac2-4db7-864b-ddfd21966177
activity,name,walking dog,i'm taking the dog for a walk now,Yes?,1e02e1f8-3ac2-4db7-864b-ddfd21966177
activity,type,meal,i'm cooking dinner,How can I help you?,1ea645fa-5e73-4392-b716-7839193c25fb
activity,name,cooking dinner,i'm cooking dinner,How can I help you?,1ea645fa-5e73-4392-b716-7839193c25fb
place,name,kitchen,i'm going to the kitchen to wash my lunch dishes okay,How can I help you?,1ed2ecf8-df57-4162-aa5c-c0b594bb9651
activity,type,household chore,i'm going to the kitchen to wash my lunch dishes okay,How can I help you?,1ed2ecf8-df57-4162-aa5c-c0b594bb9651
activity,name,washing dishes,i'm going to the kitchen to wash my lunch dishes okay,How can I help you?,1ed2ecf8-df57-4162-aa5c-c0b594bb9651
activity,type,religious activity,no it isn't no nope i'm going out i'm going to church i don't got time no i'm getting ready to go out,is this a good time for you?,1edd0ee4-745d-4179-9a46-bc1939e0f0fe
activity,name,going to church,no it isn't no nope i'm going out i'm going to church i don't got time no i'm getting ready to go out,is this a good time for you?,1edd0ee4-745d-4179-9a46-bc1939e0f0fe
activity,type,going out,no it isn't no nope i'm going out i'm going to church i don't got time no i'm getting ready to go out,is this a good time for you?,1edd0ee4-745d-4179-9a46-bc1939e0f0fe
activity,type,drinking water,okay i will i'll be here in the morning tomorrow but in the i have an appointment at 1:30 but i should be back home by 3 probably,Drinking water helps your joints so don't forget to drink up and feel good. Doctor elli cue's orders.,1efd255b-5703-4df7-973a-77a4b92cfd9e
time,period,morning,okay i will i'll be here in the morning tomorrow but in the i have an appointment at 1:30 but i should be back home by 3 probably,Drinking water helps your joints so don't forget to drink up and feel good. Doctor elli cue's orders.,1efd255b-5703-4df7-973a-77a4b92cfd9e
activity,name,making soup,i'm making soup in the pic,I've been told that weather is a good small talk starter. Do you like today's weather?,1f263a57-fa92-4fdf-9d87-f3b8de84c0f9
activity,type,mental activity,do puzzles,"Poor Leon. Seems like he has to suffer for his art. What is one thing you love to do, despite minor frustrations?",1f422546-384f-45ba-a354-58fb4671ef1c
activity,type,shopping,i'm going to the store,Yes?,1f7d1717-8cc4-4f5d-a600-6e8610b3ffbc
place,name,store,i'm going to the store,Yes?,1f7d1717-8cc4-4f5d-a600-6e8610b3ffbc
activity,type,meal,i'm ready to hang out with you i'm all done dinner,Elli to the rescue! How can I help?,1f8af161-5ea5-4605-a770-a81958ff61c7
activity,name,dinner,i'm ready to hang out with you i'm all done dinner,Elli to the rescue! How can I help?,1f8af161-5ea5-4605-a770-a81958ff61c7
activity,type,social activity,not now i'm leaving for choir practice,"I'd love to spend some time together, how about it <say-as interpret-as=""name"">Donna</say-as>?",1f950042-ea0d-42f3-bc30-8469f033f803
activity,name,choir practice,not now i'm leaving for choir practice,"I'd love to spend some time together, how about it <say-as interpret-as=""name"">Donna</say-as>?",1f950042-ea0d-42f3-bc30-8469f033f803
activity,name,watching tv,little bit later i'm watching the news,"<say-as interpret-as=""name"">James</say-as>, whaddya say we do something together?",2005f5df-2ef3-4f5a-87cf-ae2e1cf16140
activity,type,meal,no i'm cooking dinner,Wanna play a game of trivia with me?,202d701d-6b11-4871-b5ba-2bbc8b986d15
activity,name,cooking dinner,no i'm cooking dinner,Wanna play a game of trivia with me?,202d701d-6b11-4871-b5ba-2bbc8b986d15
activity,type,religious activity,i'm going to the synagogue today,Do you have anything special planned for today?,203744dd-6875-4d7f-91a7-4c227315e297
relationship,type,relatives,great cuz i was too i've been talking to my relatives in new york,So? How's the day been treating you so far?,207745a5-72b4-4307-aa17-5603fd6dcc54
location,name,New York,great cuz i was too i've been talking to my relatives in new york,So? How's the day been treating you so far?,207745a5-72b4-4307-aa17-5603fd6dcc54
activity,type,communication,great cuz i was too i've been talking to my relatives in new york,So? How's the day been treating you so far?,207745a5-72b4-4307-aa17-5603fd6dcc54
activity,name,talking,great cuz i was too i've been talking to my relatives in new york,So? How's the day been treating you so far?,207745a5-72b4-4307-aa17-5603fd6dcc54
activity,type,pet care,can you walk the dog,Elli to the rescue! How can I help?,20ba74e2-a1ff-4a6c-88a4-46b651f451d7
activity,name,walk the dog,can you walk the dog,Elli to the rescue! How can I help?,20ba74e2-a1ff-4a6c-88a4-46b651f451d7
activity,type,physical activity,i'm going for a walk,Is there a TV show you'd call your favorite?,20ca3b4d-eb3a-4b7e-810b-bc5906ad694f
relationship,type,father,my mother my mom and dad,"What a fun trip! Now, if we could take anyone in the world along with us for our next trip, who would it be?",20fb257c-6145-4c74-879c-853d37991298
activity,name,shower,i just got out of the hospital just getting home i'm going to go take a shower,How can I help you?,2140a9e5-e4aa-42be-a482-a337e7f3a9ff
food_preference,type,eggs,oh i don't think i have a favorite food i like all foods i like eggs i like eggs fix better different ways and i like certain kinds of meat like the salmon patty i like fish and i like hamburger and i like beef i like lots of things i like most kinds of soup i'd like to have soup for lunch a lot of times,"Speaking of food, what's your favorite food?",216ff1bc-f097-413c-bbdd-a226c1bf6e50
food_preference,type,salmon patty,oh i don't think i have a favorite food i like all foods i like eggs i like eggs fix better different ways and i like certain kinds of meat like the salmon patty i like fish and i like hamburger and i like beef i like lots of things i like most kinds of soup i'd like to have soup for lunch a lot of times,"Speaking of food, what's your favorite food?",216ff1bc-f097-413c-bbdd-a226c1bf6e50
food_preference,type,fish,oh i don't think i have a favorite food i like all foods i like eggs i like eggs fix better different ways and i like certain kinds of meat like the salmon patty i like fish and i like hamburger and i like beef i like lots of things i like most kinds of soup i'd like to have soup for lunch a lot of times,"Speaking of food, what's your favorite food?",216ff1bc-f097-413c-bbdd-a226c1bf6e50
food_preference,type,hamburger,oh i don't think i have a favorite food i like all foods i like eggs i like eggs fix better different ways and i like certain kinds of meat like the salmon patty i like fish and i like hamburger and i like beef i like lots of things i like most kinds of soup i'd like to have soup for lunch a lot of times,"Speaking of food, what's your favorite food?",216ff1bc-f097-413c-bbdd-a226c1bf6e50
food_preference,type,beef,oh i don't think i have a favorite food i like all foods i like eggs i like eggs fix better different ways and i like certain kinds of meat like the salmon patty i like fish and i like hamburger and i like beef i like lots of things i like most kinds of soup i'd like to have soup for lunch a lot of times,"Speaking of food, what's your favorite food?",216ff1bc-f097-413c-bbdd-a226c1bf6e50
food_preference,type,soup,oh i don't think i have a favorite food i like all foods i like eggs i like eggs fix better different ways and i like certain kinds of meat like the salmon patty i like fish and i like hamburger and i like beef i like lots of things i like most kinds of soup i'd like to have soup for lunch a lot of times,"Speaking of food, what's your favorite food?",216ff1bc-f097-413c-bbdd-a226c1bf6e50
meal_preference,meal,lunch,oh i don't think i have a favorite food i like all foods i like eggs i like eggs fix better different ways and i like certain kinds of meat like the salmon patty i like fish and i like hamburger and i like beef i like lots of things i like most kinds of soup i'd like to have soup for lunch a lot of times,"Speaking of food, what's your favorite food?",216ff1bc-f097-413c-bbdd-a226c1bf6e50
activity,type,entertainment,going through a movie,Do you have anything special planned for today?,2197417c-efb8-4759-882b-500effd3b6de
activity,name,watching a movie,going through a movie,Do you have anything special planned for today?,2197417c-efb8-4759-882b-500effd3b6de
activity,type,appointment,i'm getting ready to go to the doctor so not now,"<say-as interpret-as=""name"">Honeybunch</say-as>, whaddya say we do something together?",21bbbe23-76c8-4544-bb5d-d80bd469e225
activity,type,spiritual activity,bible study time real simple,What's their first name?,21bffec4-ec86-4963-894f-affe5ebfd6c9
activity,name,bible study,bible study time real simple,What's their first name?,21bffec4-ec86-4963-894f-affe5ebfd6c9
activity,type,outdoor activity,i'm going to the park right now,"That's lovely, what are your plans?",21c59958-547b-4b6c-b26a-f7c3993d7248
relationship,type,friends,yes i'm going to have breakfast with friends,Do you have anything special planned for tomorrow?,21cf533a-be22-4815-a021-02822a419d24
activity,name,going to work,i'm going to work now,would you like me to stop asking you that?,21dce4fc-a70c-4819-bcd6-1f24c5732047
preference,name,hot pink,hot pink hot pink,What's your favorite color?,21e31ff6-e7aa-4c41-9d06-9638cc9b58a6
activity,type,physical activity,i'm taking the dog for a walk goodbye,How can I help you?,21f60018-82f9-4a72-a344-45806de10f42
activity,name,walking the dog,i'm taking the dog for a walk goodbye,How can I help you?,21f60018-82f9-4a72-a344-45806de10f42
activity,type,physical therapy,physical therapy,Got anything important planned today?,221f90c1-e89e-483f-9a5e-e3f85ce62a88
place,name,town,yeah i'm going to town i'm going shopping,Got any plans today?,222d921f-45c6-4cc9-94c7-d8ef730240fa
activity,type,physical activity,thank you i'm going to take pepper for a walk,How can I help you?,2231f2bf-1917-4d9d-8c1a-e00839e1f444
pet,name,Pepper,thank you i'm going to take pepper for a walk,How can I help you?,2231f2bf-1917-4d9d-8c1a-e00839e1f444
person,name,Dora,dora friend,Hmmm. so who would be our ideal road trip companion?,2244574b-0dd5-4a58-8d44-a2a562c4e702
activity,type,mailing,i have to go to the post office and mail some things,What do you plan on doing?,2287b4f8-959c-4ae7-952d-9c8c779dc157
activity,type,work,just going to work on doing more work,"How wonderful, what are your plans for tomorrow?",22a76fb5-8150-411b-ab27-85ba3de3bf5c
activity,name,doing more work,just going to work on doing more work,"How wonderful, what are your plans for tomorrow?",22a76fb5-8150-411b-ab27-85ba3de3bf5c
occupation,type,camp counselor,a camp counselor,What was it?,22fab364-750c-44e6-9174-37215d7ce570
activity,type,entertainment,going to the movies,You’re leaving me here? Wait! Just kidding. Where are you going?,2347c354-15af-47f1-b0da-87c7461ce731
activity,name,movies,going to the movies,You’re leaving me here? Wait! Just kidding. Where are you going?,2347c354-15af-47f1-b0da-87c7461ce731
activity,type,appointment,it's been okay got to go to another appointment,I'm really curious about your day. How's it been so far?,235ff3f1-c80b-4aa7-bad8-8bafa1e5d69e
activity,type,physical activity,little one and i are going for a walk now,How can I help you?,238d3223-58d0-4daa-96cf-595674419d6b
activity,type,activity,i have to go out to the store,How can I help you?,23c60642-9182-498b-b657-68d51f52e896
activity,name,going to the store,i have to go out to the store,How can I help you?,23c60642-9182-498b-b657-68d51f52e896
